epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,805.499,0.69388,0.92587,0.86115,0.69274,0.66741,0.7493,0.58846,0.84105,1.13764,0.88924,0.000109,0.000109,0.000109
92,815.125,0.70721,0.86268,0.87409,0.74326,0.66207,0.75442,0.58499,0.84067,1.11358,0.89082,9.91e-05,9.91e-05,9.91e-05
93,826.26,0.75216,0.98123,0.89025,0.74326,0.66207,0.75442,0.58499,0.84067,1.11358,0.89082,8.92e-05,8.92e-05,8.92e-05
94,836.844,0.75157,0.84162,0.86465,0.76738,0.66344,0.75265,0.58737,0.84433,1.08866,0.89254,7.93e-05,7.93e-05,7.93e-05
95,847.841,0.69858,0.8083,0.83572,0.76738,0.66344,0.75265,0.58737,0.84433,1.08866,0.89254,6.94e-05,6.94e-05,6.94e-05
96,859.418,0.68218,0.91759,0.86136,0.76545,0.66545,0.75717,0.585,0.84777,1.08014,0.89454,5.95e-05,5.95e-05,5.95e-05
97,870.37,0.71781,0.82144,0.85834,0.76545,0.66545,0.75717,0.585,0.84777,1.08014,0.89454,4.96e-05,4.96e-05,4.96e-05
98,879.952,0.68126,0.84092,0.88199,0.77193,0.6659,0.76567,0.58665,0.84537,1.05714,0.89391,3.97e-05,3.97e-05,3.97e-05
99,889.814,0.63338,0.79878,0.83196,0.77193,0.6659,0.76567,0.58665,0.84537,1.05714,0.89391,2.98e-05,2.98e-05,2.98e-05
100,898.649,0.69157,0.85216,0.83532,0.76396,0.68535,0.77999,0.59741,0.83792,1.04809,0.89076,1.99e-05,1.99e-05,1.99e-05
