epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3709.84,0.7502,0.5036,0.89059,0.97191,1,0.98918,0.71022,1.01661,0.51888,0.98182,0.0002774,0.0002774,0.0002774
89,3751.5,0.69788,0.48706,0.88487,0.97255,1,0.98975,0.72128,0.98624,0.51407,0.97246,0.0002576,0.0002576,0.0002576
90,3793.83,0.7541,0.50016,0.90439,0.96609,1,0.98964,0.72116,0.96989,0.51187,0.96772,0.0002378,0.0002378,0.0002378
91,3839.18,0.67807,0.44975,0.87497,0.97148,1,0.99017,0.71846,0.97535,0.50725,0.96719,0.000218,0.000218,0.000218
92,3880.45,0.70328,0.50323,0.87932,0.9602,1,0.99135,0.70736,1.00935,0.5035,0.97482,0.0001982,0.0001982,0.0001982
93,3919.57,0.65087,0.43862,0.86876,0.98023,1,0.99373,0.7279,0.98727,0.48251,0.97211,0.0001784,0.0001784,0.0001784
94,3958.99,0.6668,0.4418,0.86151,0.97455,1,0.99487,0.7387,0.97751,0.46774,0.97209,0.0001586,0.0001586,0.0001586
95,3995.08,0.67677,0.43871,0.89001,0.97734,1,0.99487,0.7202,0.97147,0.47759,0.96587,0.0001388,0.0001388,0.0001388
96,4031.58,0.64856,0.42516,0.8767,0.96255,0.98848,0.99399,0.71416,0.98805,0.48184,0.96466,0.000119,0.000119,0.000119
97,4067.54,0.64283,0.41236,0.86837,0.96259,0.9896,0.9945,0.72439,0.96759,0.47567,0.95848,9.92e-05,9.92e-05,9.92e-05
98,4107.6,0.67592,0.43677,0.8822,0.95981,0.98718,0.99426,0.72808,0.95941,0.47418,0.95802,7.94e-05,7.94e-05,7.94e-05
99,4150.95,0.66229,0.42361,0.87569,0.96546,0.98718,0.99426,0.73025,0.96538,0.47135,0.95961,5.96e-05,5.96e-05,5.96e-05
100,4194.97,0.63734,0.41446,0.87476,0.96913,0.98718,0.99387,0.72662,0.97772,0.47325,0.9618,3.98e-05,3.98e-05,3.98e-05
